La orden del cliente: C54 - Con descripcion Food{description='Pizza', serviceTime=54} ingreso en el tiempo: 54
La orden del cliente: C55 - Con descripcion Food{description='Empanadas', serviceTime=55} ingreso en el tiempo: 55
La orden del cliente: C59 - Con descripcion Food{description='Empanadas', serviceTime=59} ingreso en el tiempo: 59
La orden del cliente: C60 - Con descripcion Food{description='Asado', serviceTime=60} ingreso en el tiempo: 60
La orden del cliente: C62 - Con descripcion Food{description='Asado', serviceTime=62} ingreso en el tiempo: 62
La orden del cliente: C61 - Con descripcion Food{description='Hamburguesa', serviceTime=61} ingreso en el tiempo: 61
La orden del cliente: C63 - Con descripcion Food{description='Empanadas', serviceTime=63} ingreso en el tiempo: 63
La orden del cliente: C64 - Con descripcion Food{description='Empanadas', serviceTime=64} ingreso en el tiempo: 64
La orden del cliente: C65 - Con descripcion Food{description='Pizza', serviceTime=65} ingreso en el tiempo: 65
La orden del cliente: C67 - Con descripcion Food{description='Empanadas', serviceTime=67} ingreso en el tiempo: 67
La orden del cliente: C66 - Con descripcion Food{description='Asado', serviceTime=66} ingreso en el tiempo: 66
La orden del cliente: C70 - Con descripcion Food{description='Asado', serviceTime=70} ingreso en el tiempo: 70
La orden del cliente: C69 - Con descripcion Food{description='Hamburguesa', serviceTime=69} ingreso en el tiempo: 69
La orden del cliente: C73 - Con descripcion Food{description='Hamburguesa', serviceTime=73} ingreso en el tiempo: 73
La orden del cliente: C74 - Con descripcion Food{description='Asado', serviceTime=74} ingreso en el tiempo: 74
La orden del cliente: C71 - Con descripcion Food{description='Asado', serviceTime=71} ingreso en el tiempo: 71
La orden del cliente: C72 - Con descripcion Food{description='Hamburguesa', serviceTime=72} ingreso en el tiempo: 72
La orden del cliente: C75 - Con descripcion Food{description='Pizza', serviceTime=75} ingreso en el tiempo: 75
La orden del cliente: C76 - Con descripcion Food{description='Hamburguesa', serviceTime=76} ingreso en el tiempo: 76
La orden del cliente: C78 - Con descripcion Food{description='Pizza', serviceTime=78} ingreso en el tiempo: 78
La orden del cliente: C77 - Con descripcion Food{description='Hamburguesa', serviceTime=77} ingreso en el tiempo: 77
La orden del cliente: C80 - Con descripcion Food{description='Pizza', serviceTime=80} ingreso en el tiempo: 80
La orden del cliente: C82 - Con descripcion Food{description='Hamburguesa', serviceTime=82} ingreso en el tiempo: 82
La orden del cliente: C79 - Con descripcion Food{description='Hamburguesa', serviceTime=79} ingreso en el tiempo: 79
La orden del cliente: C81 - Con descripcion Food{description='Empanadas', serviceTime=81} ingreso en el tiempo: 81
La orden del cliente: C87 - Con descripcion Food{description='Empanadas', serviceTime=87} ingreso en el tiempo: 87
La orden del cliente: C90 - Con descripcion Food{description='Pizza', serviceTime=90} ingreso en el tiempo: 90
La orden del cliente: C83 - Con descripcion Food{description='Asado', serviceTime=83} ingreso en el tiempo: 83
La orden del cliente: C84 - Con descripcion Food{description='Hamburguesa', serviceTime=84} ingreso en el tiempo: 84
La orden del cliente: C85 - Con descripcion Food{description='Empanadas', serviceTime=85} ingreso en el tiempo: 85
La orden del cliente: C94 - Con descripcion Food{description='Asado', serviceTime=94} ingreso en el tiempo: 94
La orden del cliente: C86 - Con descripcion Food{description='Hamburguesa', serviceTime=86} ingreso en el tiempo: 86
La orden del cliente: C95 - Con descripcion Food{description='Asado', serviceTime=95} ingreso en el tiempo: 95
La orden del cliente: C88 - Con descripcion Food{description='Asado', serviceTime=88} ingreso en el tiempo: 88
La orden del cliente: C89 - Con descripcion Food{description='Hamburguesa', serviceTime=89} ingreso en el tiempo: 89
La orden del cliente: C91 - Con descripcion Food{description='Asado', serviceTime=91} ingreso en el tiempo: 91
La orden del cliente: C99 - Con descripcion Food{description='Empanadas', serviceTime=99} ingreso en el tiempo: 99
La orden del cliente: C92 - Con descripcion Food{description='Hamburguesa', serviceTime=92} ingreso en el tiempo: 92
La orden del cliente: C93 - Con descripcion Food{description='Asado', serviceTime=93} ingreso en el tiempo: 93
La orden del cliente: C96 - Con descripcion Food{description='Pizza', serviceTime=96} ingreso en el tiempo: 96
La orden del cliente: C97 - Con descripcion Food{description='Empanadas', serviceTime=97} ingreso en el tiempo: 97
La orden del cliente: C104 - Con descripcion Food{description='Asado', serviceTime=104} ingreso en el tiempo: 104
La orden del cliente: C98 - Con descripcion Food{description='Pizza', serviceTime=98} ingreso en el tiempo: 98
La orden del cliente: C100 - Con descripcion Food{description='Hamburguesa', serviceTime=100} ingreso en el tiempo: 100
La orden del cliente: C101 - Con descripcion Food{description='Pizza', serviceTime=101} ingreso en el tiempo: 101
La orden del cliente: C106 - Con descripcion Food{description='Empanadas', serviceTime=106} ingreso en el tiempo: 106
La orden del cliente: C102 - Con descripcion Food{description='Empanadas', serviceTime=102} ingreso en el tiempo: 102
La orden del cliente: C103 - Con descripcion Food{description='Asado', serviceTime=103} ingreso en el tiempo: 103
La orden del cliente: C108 - Con descripcion Food{description='Pizza', serviceTime=108} ingreso en el tiempo: 108
La orden del cliente: C113 - Con descripcion Food{description='Empanadas', serviceTime=113} ingreso en el tiempo: 113
La orden del cliente: C105 - Con descripcion Food{description='Pizza', serviceTime=105} ingreso en el tiempo: 105
La orden del cliente: C114 - Con descripcion Food{description='Empanadas', serviceTime=114} ingreso en el tiempo: 114
La orden del cliente: C115 - Con descripcion Food{description='Asado', serviceTime=115} ingreso en el tiempo: 115
La orden del cliente: C107 - Con descripcion Food{description='Hamburguesa', serviceTime=107} ingreso en el tiempo: 107
La orden del cliente: C109 - Con descripcion Food{description='Empanadas', serviceTime=109} ingreso en el tiempo: 109
La orden del cliente: C110 - Con descripcion Food{description='Empanadas', serviceTime=110} ingreso en el tiempo: 110
La orden del cliente: C111 - Con descripcion Food{description='Hamburguesa', serviceTime=111} ingreso en el tiempo: 111
La orden del cliente: C112 - Con descripcion Food{description='Asado', serviceTime=112} ingreso en el tiempo: 112
La orden del cliente: C116 - Con descripcion Food{description='Pizza', serviceTime=116} ingreso en el tiempo: 116
